ID,Common_name,Latitude,Longitude
28608,Brown long-eared bat,46.104353,14.857753
28609,Gray big-eared bat / Grey long-eared bat,46.104353,14.857753
28610,Western barbastelle,46.104353,14.857753
28611,Schreibers's long-fingered bat,46.104353,14.857753
28614,Southeastern four-eyed opossum,-22.958333,-42.833333
28616,Cursor grass mouse / Cusorial akodont,-22.958333,-42.833333
28617,Lesser horseshoe bat,47.2435,15.4949
28618,Lesser horseshoe bat,47.224429,15.638168
28619,Lesser horseshoe bat,46.749085,15.549594
28620,Greater mouse-eared bat / Mouse-eared myotis,47.2435,15.4949
28621,Greater mouse-eared bat / Mouse-eared myotis,47.224429,15.638168
28622,Western barbastelle,47.2435,15.4949
28623,Bare-tailed woolly opossum,-22.466667,-42.983333
28624,Western barbastelle,47.224429,15.638168
28625,Western barbastelle,47.0271,14.3374
28627,Marsh deer,-21.085,-51.675
28628,Brazilian gracile opossum,-22.466667,-42.983333
28629,Marsh deer,-21.134722,-51.893889
28630,Marsh deer,-21.675,-52.172222
28642,West Indian manatee,-6.4654,-34.9727
29176,Harbour seal,53.99983,-125.0032
29177,Northern red-backed vole,63.583333,-135.883333
29178,Northern red-backed vole,60.716667,-135.05
29179,Northern red-backed vole,62.216667,-133.35
29180,Northern red-backed vole,60.05,-128.7
29181,North American deermouse / deer mouse,60.716667,-135.05
29182,Snowshoe hare,63.583333,-135.883333
29183,Snowshoe hare,62.216667,-133.35
29184,Snowshoe hare,60.05,-128.7
29185,Snowshoe hare,60.716667,-135.05
29186,Canadian lynx,63.583333,-135.883333
29189,American marten,61.95,-138.2
29190,Stoat / Short-tailed weasel / Ermine,61.95,-138.2
29191,Red fox,63.583333,-135.883333
29192,American marten,63.583333,-135.883333
29193,Stoat / Short-tailed weasel / Ermine,63.583333,-135.883333
29194,Red fox,61.95,-138.2
29195,Bearded seal,71.395278,-128.875278
29198,Western heather vole,5.3,-116.75
29199,Long-tailed vole,5.3,-116.75
29200,Meadow vole / Chihuahua vole,5.3,-116.75
29201,Mule deer,50.247778,-126.681389
29202,Fin whale,50.120833,-64.201111
29203,Red deer / Elk,51.5,-115.5
29204,Narwhal,65.859082,-85.844186
29205,Bowhead whale,72.170093,-91.952583
100024,Woylie,-32.44076711,116.4003908
104270,Northern Quoll,-16.09418496,145.3601964
104271,Northern Quoll,-16.45259805,144.7336049
104315,Northern Quoll,-15.26774165,125.3795586
106691,Yellow-bellied Glider,-36.84486422,148.0156427
106692,Yellow-bellied Glider,-37.34715227,148.3701071
107330,Carpentarian Antechinus,-12.86497078,141.9508253
107335,Southern Brown Bandicoot (south-eastern Australia),-38.38643205,146.2603928
107336,Southern Brown Bandicoot (south-eastern Australia),-37.74514328,141.2276395
107337,Southern Brown Bandicoot (south-eastern Australia),-36.5434572,142.1688746
107338,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107339,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107340,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107341,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107342,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107343,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107344,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107345,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107346,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107347,Southern Brown Bandicoot (south-eastern Australia),-38.38643205,146.2603928
107348,Southern Brown Bandicoot (south-eastern Australia),-37.25678172,142.3822528
107349,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107350,Southern Brown Bandicoot (south-eastern Australia),-35.60727899,141.5734114
107351,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107352,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107353,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107354,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107355,Southern Brown Bandicoot (south-eastern Australia),-37.75060845,148.9293261
107356,Southern Brown Bandicoot (south-eastern Australia),-38.32100885,144.2402249
107357,Southern Brown Bandicoot (south-eastern Australia),-38.32100885,144.2402249
107358,Southern Brown Bandicoot (south-eastern Australia),-38.38643,146.2604
107359,Southern Brown Bandicoot (south-eastern Australia),-38.38643205,146.2603928
107360,Southern Brown Bandicoot (south-eastern Australia),-37.74514328,141.2276395
107361,Southern Brown Bandicoot (south-eastern Australia),-37.60960905,140.826159
107362,Southern Brown Bandicoot (south-eastern Australia),-39.09489,146.4986
107363,Greater Glider (southern and central),-37.34715227,148.3701071
107364,Greater Glider (southern and central),-37.34715227,148.3701071
107365,Greater Glider (southern and central),-37.34715227,148.3701071
107366,Greater Glider (southern and central),-37.67163,146.4117
107367,Greater Glider (southern and central),-36.88372003,146.7575184
107368,Greater Glider (southern and central),-36.88372003,146.7575184
107370,Greater Glider (southern and central),-36.88372003,146.7575184
107371,Greater Glider (southern and central),-36.88372,146.7575
107372,Greater Glider (southern and central),-37.21970708,144.8841341
107373,Greater Glider (southern and central),-36.88372003,146.7575184
107374,Greater Glider (southern and central),-36.88372003,146.7575184
107376,Greater Glider (southern and central),-36.88372003,146.7575184
107377,Greater Glider (southern and central),-36.88372003,146.7575184
107378,Greater Glider (southern and central),-36.88372003,146.7575184
107379,Greater Glider (southern and central),-37.34715227,148.3701071
107380,Greater Glider (southern and central),-37.67163105,146.4117217
107381,Greater Glider (southern and central),-37.34715227,148.3701071
107382,Greater Glider (southern and central),-36.88372003,146.7575184
107383,Greater Glider (southern and central),-37.67163105,146.4117217
107384,Greater Glider (southern and central),-37.67163105,146.4117217
107385,Greater Glider (southern and central),-37.20899415,146.8452524
107386,Greater Glider (southern and central),-37.20899415,146.8452524
107387,Greater Glider (southern and central),-37.67163105,146.4117217
107388,Greater Glider (southern and central),-37.67163,146.4117
107389,Greater Glider (southern and central),-37.67163105,146.4117217
107390,Greater Glider (southern and central),-37.20899415,146.8452524
107391,Greater Glider (southern and central),-37.20899415,146.8452524
107392,Greater Glider (southern and central),-37.20899415,146.8452524
107393,Greater Glider (southern and central),-37.67163105,146.4117217
107394,Greater Glider (southern and central),-37.67163105,146.4117217
107395,Greater Glider (southern and central),-36.88372003,146.7575184
107396,Greater Glider (southern and central),-37.20899415,146.8452524
107397,Greater Glider (southern and central),-38.42609551,146.1559245
107398,Greater Glider (southern and central),-36.88372003,146.7575184
107399,Greater Glider (southern and central),-37.67163105,146.4117217
107401,Greater Glider (southern and central),-36.88372003,146.7575184
107402,Greater Glider (southern and central),-37.67163105,146.4117217
107403,Greater Glider (southern and central),-37.67163105,146.4117217
107404,Greater Glider (southern and central),-37.34715227,148.3701071
107405,Greater Glider (southern and central),-36.88372003,146.7575184
107406,Greater Glider (southern and central),-37.67163105,146.4117217
107407,Greater Glider (southern and central),-37.20899415,146.8452524
107408,Greater Glider (southern and central),-37.67163105,146.4117217
107409,Greater Glider (southern and central),-37.21970708,144.8841341
107410,Greater Glider (southern and central),-36.88372003,146.7575184
107411,Greater Glider (southern and central),-37.67163105,146.4117217
107412,Greater Glider (southern and central),-37.67163105,146.4117217
107413,Greater Glider (southern and central),-36.88372003,146.7575184
107414,Greater Glider (southern and central),-36.88372003,146.7575184
107415,Greater Glider (southern and central),-37.34715227,148.3701071
107416,Greater Glider (southern and central),-37.34715227,148.3701071
107417,Greater Glider (southern and central),-37.32771421,148.9046701
107418,Greater Glider (southern and central),-37.32771421,148.9046701
107419,Greater Glider (southern and central),-37.67163105,146.4117217
107420,Greater Glider (southern and central),-37.67163105,146.4117217
107421,Greater Glider (southern and central),-37.34715227,148.3701071
107422,Greater Glider (southern and central),-37.21970708,144.8841341
107423,Greater Glider (southern and central),-37.21970708,144.8841341
107424,Greater Glider (southern and central),-37.34715227,148.3701071
107425,Greater Glider (southern and central),-36.26694844,146.8284097
107426,Greater Glider (southern and central),-36.88372003,146.7575184
107427,Greater Glider (southern and central),-37.67163105,146.4117217
107428,Greater Glider (southern and central),-37.67163105,146.4117217
107429,Greater Glider (southern and central),-37.67163105,146.4117217
107430,Greater Glider (southern and central),-36.88372003,146.7575184
107431,Greater Glider (southern and central),-37.67163105,146.4117217
107432,Greater Glider (southern and central),-36.88372,146.7575
107433,Greater Glider (southern and central),-38.38643205,146.2603928
107434,Greater Glider (southern and central),-36.88372003,146.7575184
107435,Greater Glider (southern and central),-37.34715227,148.3701071
107436,Greater Glider (southern and central),-37.75060845,148.9293261
107437,Greater Glider (southern and central),-37.32771421,148.9046701
107438,Greater Glider (southern and central),-37.67163105,146.4117217
107439,Greater Glider (southern and central),-36.88372003,146.7575184
107440,Greater Glider (southern and central),-36.88372003,146.7575184
107441,Greater Glider (southern and central),-36.88372003,146.7575184
107442,Greater Glider (southern and central),-36.88372003,146.7575184
107443,Greater Glider (southern and central),-37.75060845,148.9293261
107444,Greater Glider (southern and central),-36.88372003,146.7575184
107445,Greater Glider (southern and central),-37.67163105,146.4117217
107446,Greater Glider (southern and central),-37.67163105,146.4117217
107447,Greater Glider (southern and central),-37.67163105,146.4117217
107448,Greater Glider (southern and central),-37.67163105,146.4117217
107449,Greater Glider (southern and central),-37.67163105,146.4117217
107450,Greater Glider (southern and central),-37.67163105,146.4117217
107451,Greater Glider (southern and central),-37.67163105,146.4117217
107452,Greater Glider (southern and central),-37.20899415,146.8452524
107453,Greater Glider (southern and central),-36.88372003,146.7575184
107454,Greater Glider (southern and central),-37.20899415,146.8452524
107455,Greater Glider (southern and central),-37.67163105,146.4117217
107456,Greater Glider (southern and central),-37.67163,146.4117
107457,Greater Glider (southern and central),-37.67163,146.4117
107458,Greater Glider (southern and central),-37.67163105,146.4117217
107459,Greater Glider (southern and central),-37.67163,146.4117
107460,Greater Glider (southern and central),-37.67163,146.4117
107461,Greater Glider (southern and central),-37.67163,146.4117
107462,Greater Glider (southern and central),-37.67163105,146.4117217
107463,Greater Glider (southern and central),-37.67163,146.4117
107464,Greater Glider (southern and central),-37.67163,146.4117
107465,Greater Glider (southern and central),-37.67163105,146.4117217
107466,Greater Glider (southern and central),-36.88372003,146.7575184
107467,Greater Glider (southern and central),-36.26694844,146.8284097
107468,Greater Glider (southern and central),-37.21970708,144.8841341
107469,Greater Glider (southern and central),-37.21970708,144.8841341
107470,Greater Glider (southern and central),-36.88372003,146.7575184
107471,Greater Glider (southern and central),-37.67163105,146.4117217
107472,Greater Glider (southern and central),-37.67163105,146.4117217
107473,Greater Glider (southern and central),-37.67163,146.4117
107474,Greater Glider (southern and central),-36.88372003,146.7575184
107475,Greater Glider (southern and central),-37.67163,146.4117
107476,Greater Glider (southern and central),-37.21970708,144.8841341
107477,Greater Glider (southern and central),-37.67163105,146.4117217
107478,Greater Glider (southern and central),-37.67163105,146.4117217
107479,Greater Glider (southern and central),-37.67163105,146.4117217
107480,Greater Glider (southern and central),-37.67163105,146.4117217
107481,Greater Glider (southern and central),-37.67163105,146.4117217
107482,Greater Glider (southern and central),-37.75060845,148.9293261
107483,Greater Glider (southern and central),-37.75060845,148.9293261
107484,Greater Glider (southern and central),-37.21970708,144.8841341
107485,Greater Glider (southern and central),-36.88372003,146.7575184
107486,Greater Glider (southern and central),-37.21970708,144.8841341
107487,Greater Glider (southern and central),-37.67163105,146.4117217
107488,Greater Glider (southern and central),-37.20899415,146.8452524
107489,Greater Glider (southern and central),-37.20899415,146.8452524
107490,Greater Glider (southern and central),-37.20899415,146.8452524
107491,Greater Glider (southern and central),-37.20899415,146.8452524
107492,Greater Glider (southern and central),-37.67163105,146.4117217
107493,Greater Glider (southern and central),-37.67163105,146.4117217
107494,Greater Glider (southern and central),-37.67163105,146.4117217
107495,Greater Glider (southern and central),-37.20899415,146.8452524
107496,Greater Glider (southern and central),-37.32771421,148.9046701
107497,Greater Glider (southern and central),-37.67163105,146.4117217
107498,Greater Glider (southern and central),-37.67163105,146.4117217
107499,Greater Glider (southern and central),-37.67163105,146.4117217
107500,Greater Glider (southern and central),-38.42609551,146.1559245
107501,Greater Glider (southern and central),-38.42609551,146.1559245
107502,Greater Glider (southern and central),-37.67163105,146.4117217
107503,Greater Glider (southern and central),-37.34715227,148.3701071
107504,Greater Glider (southern and central),-36.88372003,146.7575184
107505,Greater Glider (southern and central),-37.20899415,146.8452524
107506,Greater Glider (southern and central),-36.88372003,146.7575184
107507,Greater Glider (southern and central),-36.88372003,146.7575184
107508,Greater Glider (southern and central),-36.88372003,146.7575184
107509,Greater Glider (southern and central),-36.88372003,146.7575184
107510,Greater Glider (southern and central),-37.67163105,146.4117217
107511,Greater Glider (southern and central),-36.88372003,146.7575184
107512,Greater Glider (southern and central),-37.67163105,146.4117217
107513,Greater Glider (southern and central),-37.67163105,146.4117217
107514,Greater Glider (southern and central),-36.88372,146.7575
107515,Greater Glider (southern and central),-37.21971,144.8841
107516,Greater Glider (southern and central),-36.88372003,146.7575184
107517,Greater Glider (southern and central),-38.42609551,146.1559245
107518,Greater Glider (southern and central),-36.88372003,146.7575184
107519,Greater Glider (southern and central),-36.88372003,146.7575184
107520,Greater Glider (southern and central),-36.88372,146.7575
107521,Greater Glider (southern and central),-37.67163105,146.4117217
107522,Greater Glider (southern and central),-37.32771421,148.9046701
107523,Greater Glider (southern and central),-37.75060845,148.9293261
107524,Greater Glider (southern and central),-37.67163105,146.4117217
107525,Greater Glider (southern and central),-37.67163105,146.4117217
107526,Greater Glider (southern and central),-37.11907,148.6075
107527,Greater Glider (southern and central),-38.38643205,146.2603928
107528,Greater Glider (southern and central),-36.88372003,146.7575184
107529,Greater Glider (southern and central),-37.11906715,148.6075466
107530,Greater Glider (southern and central),-37.67163105,146.4117217
107531,Greater Glider (southern and central),-37.67163105,146.4117217
107532,Greater Glider (southern and central),-37.75060845,148.9293261
107533,Greater Glider (southern and central),-37.67163105,146.4117217
107534,Greater Glider (southern and central),-37.67163105,146.4117217
107535,Greater Glider (southern and central),-37.67163105,146.4117217
107536,Greater Glider (southern and central),-37.67163105,146.4117217
107537,Greater Glider (southern and central),-37.67163105,146.4117217
107538,Greater Glider (southern and central),-36.88372003,146.7575184
107539,Greater Glider (southern and central),-36.88372003,146.7575184
107540,Greater Glider (southern and central),-36.88372003,146.7575184
107541,Greater Glider (southern and central),-37.67163105,146.4117217
107542,Greater Glider (southern and central),-37.67163105,146.4117217
107543,Greater Glider (southern and central),-37.67163105,146.4117217
107544,Greater Glider (southern and central),-37.21970708,144.8841341
107545,Greater Glider (southern and central),-37.67163105,146.4117217
107546,Greater Glider (southern and central),-37.67163105,146.4117217
107547,Greater Glider (southern and central),-37.21970708,144.8841341
107548,Greater Glider (southern and central),-36.88372003,146.7575184
107549,Greater Glider (southern and central),-37.32771421,148.9046701
107550,Greater Glider (southern and central),-37.11906715,148.6075466
107551,Greater Glider (southern and central),-36.88372003,146.7575184
107552,Greater Glider (southern and central),-37.34715,148.3701
107553,Greater Glider (southern and central),-37.75061,148.9293
107554,Greater Glider (southern and central),-37.32771421,148.9046701
107555,Greater Glider (southern and central),-37.32771421,148.9046701
107556,Greater Glider (southern and central),-37.21970708,144.8841341
107557,Greater Glider (southern and central),-37.20899,146.8453
107558,Greater Glider (southern and central),-37.34715227,148.3701071
107559,Greater Glider (southern and central),-37.32771421,148.9046701
107560,Greater Glider (southern and central),-37.32771421,148.9046701
107561,Greater Glider (southern and central),-38.42609551,146.1559245
107562,Greater Glider (southern and central),-37.32771421,148.9046701
107563,Greater Glider (southern and central),-37.32771421,148.9046701
107564,Greater Glider (southern and central),-37.32771421,148.9046701
107565,Greater Glider (southern and central),-37.11906715,148.6075466
107566,Greater Glider (southern and central),-37.32771421,148.9046701
107567,Greater Glider (southern and central),-37.32771421,148.9046701
107568,Greater Glider (southern and central),-37.32771421,148.9046701
107569,Greater Glider (southern and central),-37.75060845,148.9293261
107570,Greater Glider (southern and central),-37.67163105,146.4117217
107571,Greater Glider (southern and central),-37.75060845,148.9293261
107572,Greater Glider (southern and central),-37.34715227,148.3701071
107573,Greater Glider (southern and central),-37.34715227,148.3701071
107574,Greater Glider (southern and central),-37.34715227,148.3701071
107575,Greater Glider (southern and central),-37.34715227,148.3701071
107576,Greater Glider (southern and central),-37.34715227,148.3701071
107577,Greater Glider (southern and central),-37.34715227,148.3701071
107578,Greater Glider (southern and central),-37.75060845,148.9293261
107579,Greater Glider (southern and central),-37.34715227,148.3701071
107580,Greater Glider (southern and central),-38.42609551,146.1559245
107581,Greater Glider (southern and central),-36.88372003,146.7575184
107582,Greater Glider (southern and central),-37.21970708,144.8841341
107583,Greater Glider (southern and central),-36.88372003,146.7575184
107584,Greater Glider (southern and central),-37.67163105,146.4117217
107585,Greater Glider (southern and central),-37.67163,146.4117
107586,Greater Glider (southern and central),-37.67163,146.4117
107587,Greater Glider (southern and central),-37.67163105,146.4117217
107588,Greater Glider (southern and central),-37.67163,146.4117
107589,Greater Glider (southern and central),-37.67163,146.4117
107590,Greater Glider (southern and central),-37.67163105,146.4117217
107591,Greater Glider (southern and central),-37.67163105,146.4117217
107592,Greater Glider (southern and central),-36.88372003,146.7575184
107593,Greater Glider (southern and central),-37.67163,146.4117
107594,Greater Glider (southern and central),-37.67163105,146.4117217
107595,Greater Glider (southern and central),-37.20899415,146.8452524
107596,Greater Glider (southern and central),-37.67163105,146.4117217
107597,Greater Glider (southern and central),-37.67163105,146.4117217
107598,Yellow-bellied Glider,-37.75060845,148.9293261
107599,Yellow-bellied Glider,-37.20899415,146.8452524
107600,Yellow-bellied Glider,-37.67163105,146.4117217
107601,Yellow-bellied Glider,-37.67163105,146.4117217
107602,Yellow-bellied Glider,-37.67163105,146.4117217
107603,Yellow-bellied Glider,-37.67163105,146.4117217
107604,Yellow-bellied Glider,-37.67163105,146.4117217
107605,Yellow-bellied Glider,-37.67163105,146.4117217
107606,Yellow-bellied Glider,-37.67163105,146.4117217
107607,Yellow-bellied Glider,-37.67163105,146.4117217
107608,Yellow-bellied Glider,-37.67163105,146.4117217
107609,Yellow-bellied Glider,-37.67163105,146.4117217
107610,Yellow-bellied Glider,-37.67163105,146.4117217
107611,Yellow-bellied Glider,-37.67163105,146.4117217
107612,Yellow-bellied Glider,-37.67163105,146.4117217
107613,Yellow-bellied Glider,-37.67163105,146.4117217
107614,Yellow-bellied Glider,-37.67163105,146.4117217
107615,Yellow-bellied Glider,-37.67163105,146.4117217
107616,Yellow-bellied Glider,-37.67163105,146.4117217
107617,Yellow-bellied Glider,-37.67163105,146.4117217
107618,Yellow-bellied Glider,-37.67163105,146.4117217
107619,Yellow-bellied Glider,-37.67163105,146.4117217
107620,Yellow-bellied Glider,-37.67163105,146.4117217
107621,Yellow-bellied Glider,-37.20899415,146.8452524
107622,Yellow-bellied Glider,-37.20899415,146.8452524
107623,Yellow-bellied Glider,-37.67163105,146.4117217
107624,Yellow-bellied Glider,-37.34715227,148.3701071
107625,Yellow-bellied Glider,-37.67163105,146.4117217
107626,Yellow-bellied Glider,-37.67163105,146.4117217
107627,Yellow-bellied Glider,-37.67163105,146.4117217
107628,Yellow-bellied Glider,-37.67163105,146.4117217
107629,Yellow-bellied Glider,-36.88372003,146.7575184
107630,Yellow-bellied Glider,-36.88372003,146.7575184
107631,Yellow-bellied Glider,-36.88372003,146.7575184
107632,Yellow-bellied Glider,-37.75060845,148.9293261
107633,Yellow-bellied Glider,-37.75060845,148.9293261
107634,Yellow-bellied Glider,-37.75060845,148.9293261
107635,Yellow-bellied Glider,-37.75060845,148.9293261
107636,Yellow-bellied Glider,-36.5434572,142.1688746
107637,Yellow-bellied Glider,-37.34715227,148.3701071
107638,Yellow-bellied Glider,-37.75060845,148.9293261
107639,Yellow-bellied Glider,-37.75060845,148.9293261
107640,Yellow-bellied Glider,-37.75060845,148.9293261
107641,Yellow-bellied Glider,-37.74514328,141.2276395
107642,Yellow-bellied Glider,-37.75060845,148.9293261
107643,Yellow-bellied Glider,-37.74514328,141.2276395
107644,Yellow-bellied Glider,-37.20899415,146.8452524
107645,Yellow-bellied Glider,-37.84704817,143.2517563
107646,Yellow-bellied Glider,-37.84704817,143.2517563
107647,Yellow-bellied Glider,-37.32771421,148.9046701
107648,Yellow-bellied Glider,-37.75060845,148.9293261
107649,Yellow-bellied Glider,-37.34715227,148.3701071
107650,Yellow-bellied Glider,-37.34715227,148.3701071
107651,Yellow-bellied Glider,-37.67163105,146.4117217
107652,Yellow-bellied Glider,-37.67163105,146.4117217
107653,Yellow-bellied Glider,-37.74514328,141.2276395
107654,Yellow-bellied Glider,-37.75060845,148.9293261
107655,Yellow-bellied Glider,-37.75060845,148.9293261
107656,Yellow-bellied Glider,-37.75060845,148.9293261
107657,Yellow-bellied Glider,-37.75060845,148.9293261
107658,Yellow-bellied Glider,-37.34715227,148.3701071
107659,Yellow-bellied Glider,-37.34715227,148.3701071
107660,Yellow-bellied Glider,-36.88372003,146.7575184
107661,Yellow-bellied Glider,-36.88372003,146.7575184
107662,Yellow-bellied Glider,-37.34715227,148.3701071
107663,Yellow-bellied Glider,-37.75060845,148.9293261
107664,Yellow-bellied Glider,-37.75060845,148.9293261
107665,Yellow-bellied Glider,-37.67163105,146.4117217
107666,Yellow-bellied Glider,-37.34715227,148.3701071
107667,Yellow-bellied Glider,-37.34715227,148.3701071
107668,Yellow-bellied Glider,-37.67163105,146.4117217
107669,Yellow-bellied Glider,-37.34715227,148.3701071
107670,Yellow-bellied Glider,-37.34715227,148.3701071
107671,Yellow-bellied Glider,-37.34715227,148.3701071
107672,Yellow-bellied Glider,-37.32771421,148.9046701
107673,Yellow-bellied Glider,-37.32771421,148.9046701
107674,Yellow-bellied Glider,-37.34715227,148.3701071
107675,Yellow-bellied Glider,-37.32771421,148.9046701
107676,Yellow-bellied Glider,-37.75060845,148.9293261
107677,Yellow-bellied Glider,-37.75060845,148.9293261
107678,Yellow-bellied Glider,-36.88372003,146.7575184
107679,Yellow-bellied Glider,-37.75060845,148.9293261
107680,Yellow-bellied Glider,-37.75061,148.9293
107681,Yellow-bellied Glider,-37.34715227,148.3701071
107682,Yellow-bellied Glider,-37.34715,148.3701
107683,Yellow-bellied Glider,-37.34715227,148.3701071
107684,Yellow-bellied Glider,-37.34715227,148.3701071
107685,Yellow-bellied Glider,-37.34715227,148.3701071
107686,Yellow-bellied Glider,-37.75060845,148.9293261
107687,Yellow-bellied Glider,-37.32771421,148.9046701
107688,Yellow-bellied Glider,-38.75598286,143.6921367
107689,Yellow-bellied Glider,-37.32771421,148.9046701
107690,Yellow-bellied Glider,-37.32771421,148.9046701
107691,Yellow-bellied Glider,-37.32771,148.9047
107692,Yellow-bellied Glider,-37.34715227,148.3701071
107693,Yellow-bellied Glider,-37.34715227,148.3701071
107694,Yellow-bellied Glider,-37.75060845,148.9293261
107695,Yellow-bellied Glider,-37.34715227,148.3701071
107696,Yellow-bellied Glider,-37.75060845,148.9293261
107697,Yellow-bellied Glider,-37.75060845,148.9293261
107698,Yellow-bellied Glider,-37.75060845,148.9293261
107699,Yellow-bellied Glider,-37.75060845,148.9293261
107700,Yellow-bellied Glider,-37.75060845,148.9293261
107701,Yellow-bellied Glider,-37.75060845,148.9293261
107702,Yellow-bellied Glider,-37.34715227,148.3701071
107703,Yellow-bellied Glider,-37.34715227,148.3701071
107704,Yellow-bellied Glider,-37.34715227,148.3701071
107705,Yellow-bellied Glider,-37.34715227,148.3701071
107706,Yellow-bellied Glider,-37.32771421,148.9046701
107707,Yellow-bellied Glider,-37.75060845,148.9293261
107708,Yellow-bellied Glider,-37.75060845,148.9293261
107709,Yellow-bellied Glider,-37.75060845,148.9293261
107710,Yellow-bellied Glider,-37.75060845,148.9293261
107711,Yellow-bellied Glider,-37.34715227,148.3701071
107712,Yellow-bellied Glider,-38.32100885,144.2402249
107713,Yellow-bellied Glider,-37.34715227,148.3701071
107714,Yellow-bellied Glider,-37.34715227,148.3701071
107715,Yellow-bellied Glider,-37.32771421,148.9046701
107716,Yellow-bellied Glider,-37.34715227,148.3701071
107717,Yellow-bellied Glider,-37.67163105,146.4117217
107718,Yellow-bellied Glider,-37.20899415,146.8452524
107719,Yellow-bellied Glider,-37.67163105,146.4117217
107720,Yellow-bellied Glider,-37.20899415,146.8452524
107721,Yellow-bellied Glider,-37.67163105,146.4117217
107722,Yellow-bellied Glider,-37.67163105,146.4117217
107723,Yellow-bellied Glider,-37.67163105,146.4117217
107724,Yellow-bellied Glider,-37.67163105,146.4117217
107725,Yellow-bellied Glider,-36.5434572,142.1688746
107726,Yellow-bellied Glider,-38.51214642,142.5392623
107727,Yellow-bellied Glider,-37.67163105,146.4117217
107728,Yellow-bellied Glider,-37.67163105,146.4117217
107729,Yellow-bellied Glider,-37.20899415,146.8452524
107730,Yellow-bellied Glider,-37.20899415,146.8452524
107731,Yellow-bellied Glider,-37.34715227,148.3701071
107732,Yellow-bellied Glider,-37.67163,146.4117
107733,Yellow-bellied Glider,-37.84704817,143.2517563
107734,Yellow-bellied Glider,-37.67163105,146.4117217
107735,Yellow-bellied Glider,-37.67163105,146.4117217
107736,Yellow-bellied Glider,-37.67163105,146.4117217
107737,Yellow-bellied Glider,-37.67163,146.4117
107738,Yellow-bellied Glider,-37.67163,146.4117
107739,Yellow-bellied Glider,-37.67163105,146.4117217
107740,Yellow-bellied Glider,-37.67163,146.4117
107741,Yellow-bellied Glider,-37.67163,146.4117
107742,Yellow-bellied Glider,-37.67163105,146.4117217
107743,Yellow-bellied Glider,-37.67163105,146.4117217
107744,Yellow-bellied Glider,-37.34715227,148.3701071
107745,Yellow-bellied Glider,-37.67163,146.4117
107746,Yellow-bellied Glider,-37.67163105,146.4117217
107747,Yellow-bellied Glider,-37.67163105,146.4117217
107748,Yellow-bellied Glider,-37.67163105,146.4117217
107749,Yellow-bellied Glider,-37.67163105,146.4117217
107750,Yellow-bellied Glider,-36.88372003,146.7575184
107751,Yellow-bellied Glider,-37.67163105,146.4117217
107752,Yellow-bellied Glider,-37.67163105,146.4117217
107753,Yellow-bellied Glider,-37.67163105,146.4117217
107754,Yellow-bellied Glider,-36.88372003,146.7575184
107755,Yellow-bellied Glider,-36.88372003,146.7575184
107756,Yellow-bellied Glider,-37.34715227,148.3701071
107757,Yellow-bellied Glider,-37.34715227,148.3701071
107758,Yellow-bellied Glider,-37.32771421,148.9046701
107759,Yellow-bellied Glider,-37.32771421,148.9046701
107760,Yellow-bellied Glider,-37.32771421,148.9046701
107761,Yellow-bellied Glider,-37.75060845,148.9293261
107762,Yellow-bellied Glider,-37.75060845,148.9293261
107763,Yellow-bellied Glider,-37.75060845,148.9293261
107764,Yellow-bellied Glider,-37.67163105,146.4117217
107765,Yellow-bellied Glider,-37.67163105,146.4117217
107766,Yellow-bellied Glider,-37.67163105,146.4117217
107767,Yellow-bellied Glider,-37.67163105,146.4117217
107768,Yellow-bellied Glider,-37.67163105,146.4117217
107769,Yellow-bellied Glider,-37.20899415,146.8452524
107770,Yellow-bellied Glider,-37.34715227,148.3701071
107771,Yellow-bellied Glider,-38.75598286,143.6921367
107772,Yellow-bellied Glider,-38.75598286,143.6921367
107773,Yellow-bellied Glider,-37.67163105,146.4117217
107774,Yellow-bellied Glider,-37.67163105,146.4117217
107775,Yellow-bellied Glider,-37.74514328,141.2276395
107776,Yellow-bellied Glider,-37.74514328,141.2276395
107777,Yellow-bellied Glider,-36.88372003,146.7575184
107778,Yellow-bellied Glider,-37.84704817,143.2517563
107779,Yellow-bellied Glider,-37.84704817,143.2517563
107780,Yellow-bellied Glider,-37.84704817,143.2517563
107781,Yellow-bellied Glider,-37.67163105,146.4117217
107782,Yellow-bellied Glider,-37.67163105,146.4117217
107783,Yellow-bellied Glider,-37.67163105,146.4117217
