ID,Common_name,Latitude,Longitude
581,Eurasian lynx,62,10
582,Eurasian lynx,64,26
583,Eurasian lynx,52,20
584,Eurasian lynx,59,26
585,Eurasian lynx,56,24
586,Eurasian lynx,57,25
587,Eurasian lynx,48.3,25.93333
588,Eurasian lynx,49.75,15
589,Eurasian lynx,48.66667,19.5
590,Eurasian lynx,46,25
591,Eurasian lynx,62,15
595,Eurasian lynx,60.32139,33.98333
597,Eurasian lynx,62.36444,41.97944
598,Iberian lynx,36.98778,-6.40667
599,Steppe marmot,57,40
600,Argali / Kizil-kum sheep,40.52583,66.77889
601,Urial,48,68
602,Urial,40,60
603,Urial,37.91667,-2.91667
604,Tiger,45.25972,136.18972
605,Tiger,51.46667,117.5
606,Common pipistrelle,55.64955,13.57847
607,Mongolian gazelle,45,105
608,Przewalski's gazelle,37.25,100
609,Reindeer / Caribou,66,28
614,Reindeer / Caribou,62,10
615,Tatra chamois / Alpine chamois,43,25
616,Tatra chamois / Alpine chamois,46,25
617,Tatra chamois / Alpine chamois,41,20
618,Tatra chamois / Alpine chamois,45,7
619,Tatra chamois / Alpine chamois,48.66667,19.5
620,Tatra chamois / Alpine chamois,49.24546,19.96036
621,Tatra chamois / Alpine chamois,48.96667,19.56667
622,Mongolian saiga,46.5,93
623,Saiga antelope,46.03333,70.2
624,Saiga antelope,45.83333,58
625,Saiga antelope,47,49.8
626,Grizzly bear / Brown bear,48.66667,19.5
627,Grizzly bear / Brown bear,43,-5
628,Grizzly bear / Brown bear,64,26
629,Grizzly bear / Brown bear,47,3
630,Grizzly bear / Brown bear,62,10
631,Grizzly bear / Brown bear,52,20
632,Grizzly bear / Brown bear,46,25
633,Grizzly bear / Brown bear,60.32139,33.98333
635,Grizzly bear / Brown bear,62.36444,41.97944
636,Grizzly bear / Brown bear,62,15
637,Grizzly bear / Brown bear,41.13306,69.98306
638,Grizzly bear / Brown bear,43,25
639,Grizzly bear / Brown bear,41,20
687,Hippopotamus,-3.5,35.75
688,Hippopotamus,-9,37.5
689,Hippopotamus,2,33
807,Ganges River dolphin,26.59611,92.93889
808,Ganges River dolphin,23.36667,90.53333
809,Indus blind dolphin / Indus River dolphin,28.13028,69.31
810,Indus blind dolphin / Indus River dolphin,24.33333,67.78333
1075,West Indian manatee,28.849043,-82.608588
1076,West Indian manatee,28.93472,-81.34111
1353,European beaver / Eurasian beaver,59.8,13.05
1354,European beaver / Eurasian beaver,63,17.5
1355,European beaver / Eurasian beaver,51.75,4.83333
1356,Russian desman,60,100
1357,Baiji,31.78667,118.46917
1358,Baiji,31.78667,118.46917
1359,European shrew / Eurasian shrew,58.45,92.21667
1360,European shrew / Eurasian shrew,58.45,92.21667
1361,Finless porpoise,31.78667,121.14139
1362,Ringed seal,61.25,28.25
1363,Ringed seal,61,31.5
1939,Cape fur seal,-30.68333,26.01667
1940,Cape fur seal,-30.68333,26.01667
1941,Minke whale,66.33333,-18
1942,Minke whale,64.32028,4.21694
1943,Sei whale,66.33333,-18
1944,Blue whale,66.33333,-18
1945,Fin whale,60.13333,-47
1946,Fin whale,63,-20
1947,Fin whale,66.33333,-18
1948,Fin whale,55,-56
1949,Fin whale,44,-63
1950,Beluga whale,48,-69.66667
1951,Long-finned pilot whale,66.33333,-18
1952,Grey seal,59.03333,-2.56667
1953,Grey seal,59.23389,-2.73361
1954,Grey seal,57.60167,-7.59306
1955,Grey seal,57.52472,-7.60972
1956,Grey seal,57.52556,-7.6575
1957,Grey seal,58.89806,-2.68167
1958,Grey seal,57.83333,-7.16667
1959,Grey seal,57.56,-7.61
1960,Grey seal,53.48333,0.15389
1961,Grey seal,55.99,-6.24
1962,Grey seal,58.55611,-4.34056
1963,Grey seal,58.84,-3.17
1964,Grey seal,59.21,-2.82
1965,Grey seal,55.63306,1.61694
1966,Grey seal,55.93333,-2.23333
1967,Grey seal,56.51667,-6.385
1968,Grey seal,57.98,-7.29028
1969,Grey seal,59.06667,-2.93333
1970,Grey seal,57.7,-7.68389
1971,Grey seal,58.11667,-3.65417
1972,Grey seal,59.16,-2.65056
1973,Grey seal,59.16667,-2.68333
1974,Grey seal,56.5,-6.5
1975,Grey seal,56.17972,-2.54972
1976,Grey seal,59.13,-2.67
1977,Grey seal,59.12,-2.83056
1978,Grey seal,59.15667,-2.68861
1979,Grey seal,58.51667,-4.06944
1980,Grey seal,56.20972,-5.69972
1981,Grey seal,57.525,-7.61
1982,Grey seal,59.12972,-2.83
1983,Grey seal,55.9,-6.33333
1984,Grey seal,59.12278,-5.82278
1985,Grey seal,56.50889,-6.39361
1986,Grey seal,59,-3
1987,Grey seal,57.75,-7
1988,Grey seal,58.68889,-2.92361
1989,Grey seal,59.18528,-2.69167
1990,Grey seal,59.2075,-2.85417
1991,Grey seal,55.9325,-2.22167
1992,Grey seal,55.9325,-2.22167
1993,Grey seal,56.50056,-6.41806
1994,Grey seal,57.52667,-7.69444
1995,Grey seal,57.80167,-7.24889
1996,Grey seal,57.52167,-7.63361
1997,Grey seal,56.51694,-6.76333
1998,Grey seal,58.76583,-2.96694
1999,Grey seal,57.53361,-7.58167
2000,Grey seal,58.68361,-3.12306
2001,Grey seal,59.11694,-2.57389
2002,Grey seal,59.0825,-2.94889
2003,Grey seal,58.79917,-3.10167
2004,Grey seal,58.74306,-3.05694
2005,Grey seal,52.5,-4.0525
2006,Grey seal,59.22583,-2.90528
2007,Northern bottlenose whale,66.33333,-18
2008,Humpback whale,32.26667,-64.75
2009,Humpback whale,66.33333,-18
2010,Mediterranean monk seal,35,20
2011,Mediterranean monk seal,20.76667,-17.5
2012,Killer whale / Orca,66.33333,-18
2013,Harp seal,55,-50
2014,Harbour porpoise,66.33333,-18
2015,Sperm whale,66.33333,-18
2016,False killer whale,25,-90
2181,South american fur seal,-10.27444,-78.24194
2182,New Zealand fur seal,-47.75222,179.05
2183,Juan Fernandez fur seal,-33.63333,-78.85
2184,Guadalupe fur seal,20.15917,-105.93694
2185,Guadalupe fur seal,28.88333,-118.3
2186,Bowhead whale,71.32306,-165.58333
2187,Bowhead whale,75,-154
2188,Bowhead whale,63.70389,-168.74028
2189,Bryde's whale,30,-170
2190,Northern fur seal,59.80028,-150.03361
2191,Beluga whale,58.94194,-153.18556
2192,Beluga whale,58,-160
2193,Beluga whale,68.2025,-167.55222
2194,Dugong,-21.42139,149.54194
2195,Sea otter,56,-176
2196,Sea otter,55.00083,166.27306
2197,Sea otter,36.97528,-122.16333
2198,Sea otter,47.39667,-124.39
2199,Grey whale / Gray whale,49.93167,-128.16083
2200,Grey whale / Gray whale,49.93167,-128.16083
2201,Steller sea lion,53.64972,-130.7925
2202,Steller sea lion,30,-170
2203,Steller sea lion,52.09694,-173.50056
2204,Steller sea lion,59.07111,-144.96611
2205,Steller sea lion,54.14556,-165.77722
2206,Steller sea lion,56.92417,-136.93389
2207,Steller sea lion,59.495,-143.64972
2208,Steller sea lion,51.80917,-176.22111
2209,Steller sea lion,56.97389,-151.78444
2210,Steller sea lion,46.5,151.5
2211,Steller sea lion,56.16583,-152.31472
2212,Humpback whale,30,-170
